Event ID,Event Name,Event Type,City,Sponsorship Amount (in Rs.),Product Signups
SN-MU-A1,Sonu Nigam Tour,Music Festival,Mumbai,500000,2000
KL-SP-A2,Kabbadi League,Sports Event,Delhi,700000,3500
TC-CF-A3,Tech Conference,Conference,Bangalore,400000,1200
RW-MU-A4,Retro Waves,Music Festival,Bangalore,450000,1400
BW-SP-A5,Badminton World Championship,Sports Event,Mumbai,600000,4200
DS-CF-A6,Developer Summit,Conference,Delhi,300000,1000
MF-MU-A7,Metal Fest,Music Festival,Hyderabad,350000,1500
PL-SP-A8,Pro League Football,Sports Event,Pune,650000,3700
FS-MU-A9,Folk Sound Festival,Music Festival,Pune,300000,1300
WT-CF-A10,Web Tech Conference,Conference,Hyderabad,250000,900
FF-MU-A11,Fusion Fiesta,Music Festival,Hyderabad,480000,2200
CW-SP-A12,Cricket World Cup Final,Sports Event,Mumbai,900000,5000
IS-CF-A13,Innovation Summit,Conference,Pune,350000,1400
AG-SP-A14,Athletics Grand Prix,Sports Event,Bangalore,500000,2700
CS-MU-A15,Classical Strings,Music Festival,Pune,250000,1100
HJ-CF-A16,Health & Wellness Summit,Conference,Hyderabad,400000,1250
BB-SP-A17,Basketball Finals,Sports Event,Hyderabad,750000,4000
LE-CF-A18,Leadership Excellence,Conference,Delhi,350000,1500
BB-MU-A19,Bollywood Bash,Music Festival,Mumbai,600000,3200
RW-SP-A20,Hockey World Cup,Sports Event,Pune,850000,4500
